StoreCode,StoreCategoryCode,ProductId,ProductCategoryCode,SalesQuantity,SalesDate
673,1,4859,518,1,2017-01-17
413,1,8761,518,1,2018-09-21
951,1,4461,203,1,2019-02-18
673,1,6437,401,1,2016-07-13
680,1,44,325,5,2019-03-20
411,1,4859,518,7,2020-09-10
353,2,7983,518,2,2018-02-19
411,1,1144,723,1,2019-03-19
131,1,7983,518,5,2016-06-01
410,1,8654,518,1,2022-02-19
131,1,9066,270,2,2019-09-26
951,1,44,325,4,2020-05-23
353,2,4161,203,1,2020-09-15
410,1,1144,723,4,2016-03-25
673,1,4859,518,5,2017-04-20
353,2,8761,518,3,2017-12-15
410,1,4859,518,3,2018-07-16
950,1,4859,518,1,2017-06-02
951,1,4161,203,2,2020-07-20
825,1,44,325,4,2020-07-06
951,1,8761,518,2,2016-04-16
951,1,4859,518,4,2019-07-26
951,1,4161,203,2,2017-12-16
410,1,44,325,6,2019-06-29
950,1,8654,518,9,2021-07-15
825,1,4461,203,1,2019-07-24
411,1,4859,518,3,2020-05-15
410,1,4461,203,4,2017-10-14
411,1,4859,518,4,2020-12-16
680,1,7983,518,4,2022-01-26
825,1,1144,723,5,2017-08-05
131,1,4161,203,2,2016-09-01
680,1,44,325,1,2018-03-20
951,1,7983,518,9,2020-06-03
411,1,8654,518,2,2019-07-03
951,1,8654,518,1,2020-05-23
950,1,4161,203,21,2021-11-25
131,1,8761,518,2,2019-02-08
680,1,4859,518,2,2021-04-13
950,1,44,325,2,2020-07-01
680,1,9066,270,6,2016-08-29
353,2,1144,723,2,2022-01-07
680,1,4161,203,7,2017-06-01
680,1,8761,518,1,2019-04-11
680,1,44,325,17,2019-12-28
825,1,4161,203,6,2020-07-15
951,1,1144,723,6,2019-12-28
411,1,44,325,4,2021-08-23
680,1,9066,270,12,2017-11-10
410,1,4859,518,4,2021-03-26
410,1,44,325,7,2018-09-07
410,1,44,325,2,2021-10-27
950,1,4461,203,4,2018-07-12
411,1,44,325,9,2020-04-03
951,1,1144,723,1,2018-09-11
825,1,4161,203,5,2016-09-02
950,1,7983,518,5,2018-12-19
411,1,7983,518,2,2017-09-25
950,1,4859,518,1,2021-05-07
950,1,4161,203,8,2017-07-01
950,1,4161,203,2,2018-03-26
413,1,1144,723,1,2019-10-30
131,1,4859,518,5,2021-03-17
825,1,8654,518,1,2020-11-28
410,1,6437,401,6,2016-12-01
825,1,7983,518,7,2017-08-05
825,1,9066,270,2,2019-12-27
411,1,8654,518,1,2021-07-28
410,1,6437,401,1,2018-11-07
673,1,8761,518,7,2021-09-02
951,1,8761,518,5,2019-08-03
825,1,7983,518,9,2021-01-04
950,1,6437,401,1,2017-11-02
410,1,44,325,2,2016-03-03
673,1,6437,401,2,2016-11-23
951,1,8761,518,2,2017-02-16
825,1,4461,203,2,2018-06-27
411,1,7983,518,12,2022-01-29
673,1,4859,518,10,2021-06-08
131,1,4161,203,9,2019-08-03
951,1,8761,518,1,2018-02-17
673,1,7983,518,2,2020-12-14
413,1,4859,518,7,2018-07-04
411,1,4461,203,2,2021-01-16
413,1,8654,518,1,2017-05-31
680,1,4461,203,3,2019-11-13
353,2,6437,401,5,2020-06-07
950,1,4461,203,16,2018-03-30
131,1,8761,518,2,2020-04-08
950,1,8761,518,1,2021-05-31
950,1,9066,270,6,2018-07-18
131,1,44,325,1,2021-08-26
413,1,9066,270,3,2020-01-28
131,1,4461,203,1,2022-01-05
413,1,44,325,1,2019-03-30
825,1,44,325,1,2018-03-24
951,1,8761,518,6,2018-04-06
825,1,8761,518,2,2017-01-11
410,1,9066,270,2,2019-04-29
131,1,44,325,3,2018-04-19
353,2,4461,203,3,2019-09-13
413,1,8761,518,4,2019-11-02
131,1,8761,518,3,2021-06-21
825,1,44,325,5,2019-05-24
680,1,4859,518,2,2019-03-30
131,1,6437,401,2,2020-09-22
951,1,7983,518,7,2018-08-29
411,1,8761,518,4,2019-07-27
951,1,6437,401,12,2017-02-17
413,1,9066,270,4,2018-11-10
950,1,7983,518,3,2016-01-13
950,1,1144,723,3,2017-02-03
353,2,44,325,6,2017-04-29
353,2,1144,723,4,2017-02-02
825,1,4859,518,4,2021-10-18
950,1,7983,518,9,2016-03-29
413,1,6437,401,5,2019-05-20
353,2,4859,518,2,2021-06-02
413,1,4461,203,3,2019-09-11
353,2,4161,203,3,2018-05-14
411,1,6437,401,2,2018-10-01
950,1,4859,518,4,2019-02-26
410,1,6437,401,2,2020-06-05
353,2,1144,723,2,2017-01-04
410,1,4859,518,2,2019-04-18
410,1,4161,203,9,2017-01-28
353,2,9066,270,2,2021-11-23
680,1,44,325,7,2019-07-25
353,2,8761,518,5,2017-03-18
673,1,8654,518,3,2016-07-11
353,2,7983,518,2,2020-02-22
411,1,1144,723,5,2021-03-13
673,1,4859,518,6,2017-07-08
413,1,1144,723,4,2017-04-21
131,1,7983,518,4,2020-02-08
411,1,7983,518,27,2016-06-18
825,1,4859,518,6,2020-01-27
131,1,4461,203,4,2020-03-19
413,1,6437,401,1,2021-09-22
410,1,4161,203,4,2020-02-27
413,1,4859,518,2,2016-08-02
353,2,7983,518,3,2017-11-17
673,1,4859,518,4,2019-08-20
353,2,6437,401,1,2016-04-23
353,2,4461,203,2,2022-01-22
680,1,4161,203,2,2020-08-26
673,1,9066,270,8,2019-05-21
413,1,44,325,2,2018-10-19
410,1,6437,401,2,2021-11-02
673,1,7983,518,9,2021-11-23
673,1,8761,518,2,2017-11-15
410,1,9066,270,4,2017-03-13
411,1,9066,270,7,2018-12-24
131,1,4161,203,2,2020-06-20
680,1,8654,518,1,2020-04-30
410,1,4161,203,1,2019-10-10
950,1,4461,203,2,2020-02-06
131,1,4461,203,7,2017-10-28
131,1,8761,518,5,2017-06-16
825,1,8761,518,2,2020-06-18
410,1,7983,518,4,2018-01-20
950,1,8654,518,2,2018-01-23
411,1,7983,518,1,2019-11-25
825,1,4859,518,4,2016-09-23
680,1,4461,203,6,2021-04-24
353,2,9066,270,2,2019-11-02
673,1,44,325,6,2016-09-24
353,2,7983,518,7,2021-10-29
950,1,6437,401,1,2016-06-09
673,1,1144,723,4,2022-01-21
411,1,9066,270,8,2022-03-12
411,1,44,325,5,2019-11-14
951,1,4161,203,6,2020-04-01
950,1,8761,518,2,2021-08-12
680,1,9066,270,5,2017-05-12
413,1,9066,270,2,2020-05-05
680,1,44,325,1,2020-12-15
413,1,44,325,5,2017-11-20
950,1,8761,518,2,2021-08-21
413,1,8761,518,2,2021-08-05
131,1,7983,518,7,2019-03-23
951,1,8761,518,2,2017-03-28
353,2,1144,723,2,2020-01-09
413,1,44,325,8,2017-03-17
950,1,7983,518,2,2017-12-14
413,1,4461,203,1,2018-07-30
411,1,8761,518,1,2017-11-07
825,1,7983,518,16,2019-01-02
411,1,4859,518,1,2019-07-15
410,1,6437,401,5,2016-09-22
413,1,4859,518,3,2020-06-18
680,1,6437,401,5,2020-11-28
825,1,8654,518,1,2018-05-22
413,1,6437,401,10,2016-11-12
131,1,4161,203,5,2018-01-04
680,1,4461,203,2,2019-07-01
950,1,44,325,14,2016-08-16
353,2,4859,518,1,2017-09-12
131,1,44,325,3,2021-06-14
673,1,4161,203,3,2017-05-02
131,1,8761,518,6,2020-06-02
353,2,7983,518,7,2020-09-16
413,1,1144,723,4,2019-07-11
825,1,4859,518,2,2020-09-03
411,1,4461,203,3,2018-12-11
413,1,8761,518,1,2018-05-16
950,1,44,325,1,2019-01-28
411,1,8654,518,1,2016-12-21
413,1,8761,518,2,2016-12-04
950,1,8654,518,5,2018-03-17
673,1,4461,203,1,2020-02-18
353,2,8761,518,1,2016-10-25
680,1,9066,270,5,2018-09-26
131,1,4161,203,2,2020-12-01
410,1,4461,203,3,2020-03-11
680,1,8654,518,1,2016-08-20
680,1,4859,518,1,2016-02-22
411,1,8761,518,1,2019-04-16
673,1,4461,203,2,2022-02-28
825,1,44,325,3,2017-11-30
410,1,44,325,2,2020-03-31
680,1,4161,203,4,2018-06-02
410,1,44,325,1,2017-10-03
353,2,4161,203,2,2017-03-24
353,2,44,325,3,2016-06-21
410,1,4461,203,1,2018-12-27
413,1,8654,518,1,2020-02-29
673,1,8761,518,5,2017-12-13
825,1,44,325,17,2020-05-08
950,1,44,325,5,2020-07-25
951,1,4859,518,2,2020-10-28
951,1,4161,203,1,2019-04-02
673,1,6437,401,7,2020-06-15
353,2,7983,518,7,2017-03-20
680,1,7983,518,7,2018-10-24
950,1,44,325,4,2021-07-14
680,1,4461,203,2,2016-10-26
410,1,44,325,8,2020-04-06
673,1,8654,518,1,2021-11-03
353,2,7983,518,14,2021-03-07
680,1,1144,723,6,2020-02-29
680,1,7983,518,51,2017-07-26
951,1,44,325,6,2021-06-11
680,1,8654,518,2,2020-01-23
951,1,44,325,2,2016-12-28
131,1,4461,203,1,2016-01-20
413,1,9066,270,1,2017-08-12
951,1,6437,401,4,2022-02-23
825,1,8761,518,3,2018-10-08
680,1,8761,518,1,2020-07-29
411,1,4859,518,4,2017-12-15
825,1,1144,723,2,2020-09-17
413,1,8761,518,2,2017-02-23
673,1,4461,203,1,2020-01-06
411,1,1144,723,1,2016-07-05
411,1,7983,518,4,2021-02-17
131,1,4161,203,3,2019-06-25
413,1,4859,518,2,2018-11-23
950,1,4461,203,2,2021-09-14
680,1,4161,203,9,2018-09-28
680,1,8761,518,1,2020-07-20
131,1,4461,203,1,2016-07-06
950,1,44,325,1,2018-09-10
131,1,6437,401,2,2020-09-02
673,1,8761,518,10,2018-06-02
825,1,4859,518,2,2018-06-07
411,1,4461,203,11,2019-02-15
680,1,4161,203,5,2020-07-01
413,1,4859,518,2,2022-01-22
353,2,4859,518,1,2020-09-16
131,1,4859,518,2,2020-10-16
411,1,8654,518,1,2020-10-27
411,1,8761,518,4,2022-01-26
353,2,4461,203,1,2018-07-06
680,1,44,325,6,2021-01-25
411,1,4161,203,5,2016-08-27
951,1,9066,270,2,2021-01-22
673,1,6437,401,11,2016-02-20
131,1,1144,723,1,2019-01-08
825,1,6437,401,1,2016-09-12
410,1,1144,723,4,2017-01-18
353,2,8761,518,2,2019-07-03
410,1,7983,518,12,2020-10-23
131,1,1144,723,4,2021-02-13
825,1,8761,518,2,2020-08-04
410,1,8761,518,2,2018-08-17
950,1,4859,518,3,2017-07-01
825,1,1144,723,1,2019-11-18
825,1,4461,203,2,2020-09-25
825,1,4161,203,1,2020-08-05
673,1,6437,401,4,2021-12-02
680,1,6437,401,4,2019-01-25
680,1,8654,518,3,2016-12-23
353,2,4859,518,1,2019-01-18
410,1,4161,203,2,2019-07-02
413,1,9066,270,2,2016-07-29
673,1,1144,723,3,2021-06-21
353,2,1144,723,1,2019-12-19
680,1,4859,518,1,2016-03-01
353,2,44,325,3,2020-11-26
353,2,4461,203,1,2018-04-29
410,1,44,325,2,2021-07-22
951,1,4461,203,6,2019-11-30
673,1,4161,203,1,2017-01-20
950,1,4161,203,6,2020-10-20
680,1,4461,203,13,2018-11-16
680,1,44,325,14,2020-08-13
411,1,7983,518,2,2017-03-13
951,1,44,325,3,2020-01-04
950,1,4859,518,1,2019-01-09
950,1,8761,518,5,2021-07-30
411,1,1144,723,2,2018-09-13
131,1,4461,203,2,2020-07-07
673,1,1144,723,5,2021-04-23
353,2,8761,518,1,2020-02-20
353,2,9066,270,1,2019-11-09
131,1,7983,518,14,2017-12-08
131,1,7983,518,3,2020-03-14
353,2,1144,723,4,2017-07-01
825,1,7983,518,1,2016-09-14
825,1,6437,401,1,2018-03-15
825,1,44,325,15,2020-07-30
825,1,44,325,19,2021-01-15
353,2,7983,518,15,2021-06-20
411,1,6437,401,3,2016-08-03
411,1,4461,203,4,2019-08-17
410,1,6437,401,4,2017-06-14
413,1,44,325,2,2019-05-15
950,1,9066,270,3,2021-12-28
951,1,8761,518,7,2019-10-18
410,1,4461,203,3,2018-02-01
411,1,4859,518,3,2018-10-24
950,1,9066,270,3,2020-05-30
680,1,7983,518,16,2018-07-25
410,1,44,325,1,2017-12-16
411,1,9066,270,2,2019-06-26
410,1,6437,401,5,2018-04-20
413,1,4461,203,3,2018-05-31
131,1,6437,401,3,2020-01-02
950,1,4859,518,3,2017-06-03
353,2,44,325,5,2020-03-05
951,1,7983,518,2,2021-09-14
410,1,4161,203,5,2016-02-09
950,1,8761,518,3,2018-07-07
131,1,9066,270,1,2016-01-13
825,1,6437,401,4,2018-10-09
951,1,4461,203,2,2017-11-07
413,1,4161,203,4,2020-10-19
131,1,4161,203,5,2017-01-17
413,1,1144,723,4,2017-10-02
410,1,1144,723,4,2020-01-29
413,1,9066,270,3,2018-05-02
825,1,44,325,3,2020-06-30
950,1,8654,518,2,2018-10-29
410,1,4859,518,6,2019-07-24
411,1,4461,203,1,2021-07-22
951,1,1144,723,1,2016-09-22
131,1,9066,270,5,2018-03-15
353,2,4161,203,6,2020-04-03
411,1,44,325,17,2019-10-26
411,1,8654,518,1,2022-01-17
825,1,7983,518,10,2021-06-07
411,1,8761,518,1,2021-02-08
950,1,4461,203,5,2020-08-05
673,1,1144,723,6,2020-06-17
680,1,7983,518,12,2021-05-21
950,1,8761,518,3,2020-02-22
825,1,44,325,10,2020-01-31
951,1,8761,518,2,2020-04-01
951,1,6437,401,1,2022-01-12
413,1,44,325,2,2016-07-14
673,1,7983,518,6,2016-04-12
131,1,4859,518,1,2018-09-26
353,2,4161,203,2,2019-03-22
413,1,44,325,6,2020-09-12
413,1,4461,203,3,2017-10-16
673,1,4859,518,5,2017-05-16
410,1,4461,203,2,2018-09-04
410,1,1144,723,1,2017-12-06
673,1,8761,518,2,2019-05-20
673,1,1144,723,2,2022-03-09
951,1,4461,203,6,2016-04-20
950,1,6437,401,1,2016-07-07
950,1,4161,203,21,2016-11-30
131,1,9066,270,4,2022-03-16
950,1,4161,203,17,2018-01-05
950,1,8761,518,4,2017-10-07
131,1,8654,518,6,2019-09-02
353,2,9066,270,1,2018-11-19
411,1,4859,518,2,2018-03-27
411,1,4461,203,7,2016-05-27
413,1,7983,518,1,2021-02-01
951,1,4859,518,1,2016-06-18
411,1,4859,518,2,2016-04-02
680,1,4859,518,3,2021-01-23
825,1,8761,518,2,2018-03-05
825,1,4461,203,2,2017-04-13
411,1,4161,203,4,2019-11-27
950,1,4461,203,4,2018-06-08
410,1,8761,518,4,2019-02-15
411,1,8761,518,3,2019-11-21
413,1,44,325,3,2018-01-05
131,1,44,325,4,2018-12-22
680,1,7983,518,10,2020-05-08
951,1,1144,723,1,2019-12-10
673,1,8761,518,3,2021-09-08
673,1,4161,203,3,2018-08-08
673,1,1144,723,1,2022-02-22
131,1,8654,518,3,2018-02-28
673,1,8654,518,1,2022-03-15
825,1,1144,723,4,2016-04-21
680,1,9066,270,4,2021-04-01
411,1,1144,723,1,2020-03-31
680,1,7983,518,22,2016-12-23
410,1,9066,270,8,2020-04-25
410,1,7983,518,1,2020-10-13
410,1,7983,518,24,2020-12-31
680,1,1144,723,6,2016-09-20
951,1,8761,518,3,2018-01-15
413,1,8761,518,1,2019-03-21
950,1,4161,203,7,2017-12-27
413,1,8761,518,1,2017-12-11
825,1,6437,401,1,2018-05-09
680,1,9066,270,1,2021-07-27
353,2,4161,203,2,2017-04-27
410,1,6437,401,4,2016-01-18
825,1,4161,203,3,2016-08-06
413,1,44,325,3,2020-10-02
131,1,6437,401,1,2016-03-08
673,1,4461,203,1,2018-08-02
680,1,8761,518,1,2018-11-22
950,1,4161,203,10,2020-01-17
411,1,8761,518,3,2017-02-15
673,1,4859,518,1,2021-11-28
825,1,4161,203,7,2020-12-12
673,1,44,325,2,2017-01-09
131,1,9066,270,2,2021-02-19
950,1,4461,203,1,2016-07-14
673,1,8654,518,1,2021-09-16
825,1,8761,518,2,2021-12-24
825,1,9066,270,2,2016-06-25
410,1,4859,518,2,2020-04-08
680,1,6437,401,7,2018-09-03
410,1,44,325,1,2017-01-19
951,1,4461,203,2,2017-04-27
680,1,4461,203,3,2021-02-01
411,1,6437,401,14,2018-07-27
353,2,7983,518,3,2018-08-10
410,1,1144,723,3,2021-04-03
131,1,44,325,3,2017-05-22
825,1,4461,203,1,2021-06-02
680,1,8761,518,7,2020-06-02
680,1,44,325,6,2021-06-15
950,1,44,325,2,2018-10-25
951,1,9066,270,3,2020-11-26
413,1,1144,723,3,2021-09-15
411,1,8654,518,1,2016-10-20
680,1,4161,203,3,2016-08-04
413,1,7983,518,2,2018-06-25
353,2,7983,518,19,2019-07-21
673,1,8654,518,4,2020-11-06
131,1,1144,723,2,2018-07-23
131,1,7983,518,2,2021-04-22
950,1,8654,518,1,2021-07-03
825,1,8654,518,1,2020-11-05
951,1,9066,270,6,2019-02-16
950,1,8761,518,1,2020-02-05
680,1,9066,270,1,2019-09-03
950,1,4461,203,9,2016-05-30
411,1,1144,723,4,2017-01-06
680,1,8654,518,4,2021-09-04
353,2,8761,518,1,2017-01-06
680,1,1144,723,2,2021-07-06
353,2,6437,401,5,2017-02-01
825,1,8761,518,2,2021-02-02
131,1,9066,270,5,2018-02-02
131,1,1144,723,2,2020-01-03
673,1,8654,518,3,2016-09-26
951,1,8654,518,4,2017-05-20
410,1,4859,518,10,2022-03-18
825,1,8761,518,4,2021-02-15
410,1,8761,518,2,2021-02-20
673,1,8761,518,2,2016-09-16
131,1,4461,203,3,2017-02-06
950,1,4461,203,2,2020-06-09
680,1,4461,203,3,2019-11-21
673,1,4161,203,5,2017-06-30
950,1,8654,518,2,2016-04-16
673,1,8761,518,3,2020-09-03
413,1,9066,270,2,2018-11-21
411,1,7983,518,2,2020-01-11
410,1,6437,401,4,2016-10-13
680,1,44,325,6,2018-07-25
413,1,8654,518,3,2019-07-27
413,1,4461,203,5,2018-05-02
950,1,9066,270,2,2021-04-16
950,1,7983,518,5,2020-11-24
413,1,9066,270,2,2016-12-07
131,1,4161,203,3,2021-11-04
825,1,4859,518,2,2019-09-10
411,1,44,325,28,2019-12-29
131,1,6437,401,1,2018-08-24
825,1,1144,723,2,2018-11-21
411,1,7983,518,1,2018-01-10
413,1,4461,203,2,2020-04-21
825,1,4461,203,3,2017-05-24
673,1,8761,518,1,2016-06-07
410,1,4859,518,7,2016-10-01
950,1,4461,203,6,2017-06-10
410,1,9066,270,7,2017-08-04
131,1,8761,518,1,2021-08-06
680,1,1144,723,1,2018-12-12
131,1,4161,203,5,2019-05-24
673,1,6437,401,3,2017-11-06
950,1,6437,401,3,2017-02-10
410,1,1144,723,6,2018-12-07
131,1,4859,518,2,2017-06-06
413,1,4859,518,2,2019-08-02
353,2,8761,518,1,2021-12-02
413,1,4461,203,3,2019-09-13
950,1,8654,518,1,2021-06-24
950,1,9066,270,3,2020-02-12
950,1,6437,401,2,2016-08-20
131,1,4859,518,1,2016-07-14
411,1,1144,723,2,2020-03-14
410,1,6437,401,14,2019-10-28
353,2,44,325,7,2016-08-04
410,1,7983,518,25,2020-04-11
410,1,4161,203,6,2016-04-11
413,1,8761,518,2,2020-03-25
951,1,4859,518,2,2017-11-30
951,1,6437,401,4,2020-06-15
825,1,8761,518,2,2019-01-19
950,1,9066,270,9,2022-01-19
673,1,9066,270,6,2016-05-31
825,1,4161,203,2,2021-07-02
950,1,4161,203,5,2017-11-13
413,1,44,325,15,2019-12-28
680,1,4859,518,1,2019-02-12
353,2,4461,203,2,2019-08-09
410,1,4859,518,3,2017-08-22
950,1,1144,723,1,2021-06-11
673,1,4461,203,1,2021-07-08
353,2,4461,203,2,2021-03-02
673,1,8654,518,2,2020-04-17
673,1,8654,518,1,2018-04-18
673,1,8761,518,1,2016-05-19
951,1,8654,518,13,2020-08-01
411,1,7983,518,8,2020-07-16
950,1,8654,518,4,2016-10-04
410,1,8654,518,1,2020-05-26
825,1,4161,203,1,2021-03-22
680,1,7983,518,-2,2018-08-20
825,1,8654,518,6,2016-01-23
950,1,4461,203,6,2021-03-20
131,1,4859,518,7,2017-10-27
680,1,4461,203,3,2017-06-16
825,1,8654,518,2,2016-12-28
131,1,4461,203,3,2020-06-13
353,2,6437,401,2,2020-04-22
673,1,9066,270,7,2018-10-17
413,1,44,325,2,2016-04-14
680,1,9066,270,4,2020-11-05
673,1,1144,723,5,2018-01-31
131,1,6437,401,6,2018-08-18
410,1,9066,270,4,2020-07-24
353,2,8654,518,1,2020-05-01
825,1,1144,723,2,2021-06-10
825,1,7983,518,6,2018-02-20
673,1,8654,518,4,2020-05-19
673,1,4461,203,5,2017-05-06
353,2,4161,203,1,2018-07-29
131,1,9066,270,7,2019-01-28
951,1,1144,723,2,2017-05-27
411,1,44,325,7,2019-01-18
825,1,6437,401,3,2020-02-14
680,1,44,325,15,2020-03-27
353,2,8761,518,1,2017-03-04
951,1,1144,723,4,2019-07-24
413,1,4461,203,2,2016-10-25
673,1,4461,203,2,2021-10-15
411,1,44,325,5,2018-08-17
950,1,4161,203,18,2021-04-15
951,1,7983,518,13,2021-10-23
951,1,8761,518,1,2019-08-29
411,1,44,325,6,2022-02-12
411,1,4859,518,1,2020-01-15
411,1,4461,203,6,2017-11-02
410,1,4161,203,4,2021-03-01
951,1,4461,203,1,2017-10-26
825,1,7983,518,3,2021-09-16
411,1,8761,518,2,2021-08-27
825,1,8761,518,3,2017-06-16
413,1,4461,203,4,2021-03-16
411,1,7983,518,8,2018-09-29
411,1,4859,518,4,2017-07-01
411,1,4161,203,2,2017-02-14
950,1,1144,723,1,2020-09-24
951,1,1144,723,4,2016-04-02
413,1,9066,270,1,2018-04-24
673,1,9066,270,12,2020-09-12
951,1,7983,518,4,2019-03-01
353,2,1144,723,1,2017-04-19
673,1,9066,270,4,2020-05-05
950,1,8654,518,1,2017-03-23
951,1,44,325,1,2019-01-14
950,1,9066,270,2,2017-10-26
411,1,4461,203,5,2017-05-23
413,1,8761,518,1,2019-12-22
411,1,44,325,6,2020-03-02
680,1,4461,203,6,2017-12-14
951,1,7983,518,13,2020-03-14
951,1,1144,723,3,2021-09-14
825,1,4461,203,3,2019-04-24
951,1,4859,518,1,2018-12-29
951,1,7983,518,8,2021-07-10
413,1,7983,518,1,2022-02-17
353,2,4859,518,2,2016-08-25
680,1,4161,203,11,2020-05-06
411,1,9066,270,6,2018-06-30
951,1,44,325,2,2019-05-28
951,1,4461,203,7,2016-02-15
131,1,44,325,5,2020-06-05
353,2,44,325,10,2016-08-20
680,1,4461,203,5,2016-08-13
353,2,8761,518,3,2017-06-28
411,1,7983,518,5,2019-07-30
131,1,4859,518,2,2022-01-24
825,1,1144,723,8,2016-01-06
673,1,6437,401,4,2018-02-08
825,1,8761,518,4,2017-04-21
131,1,1144,723,3,2021-10-28
131,1,4859,518,2,2021-02-09
410,1,8761,518,4,2016-03-05
413,1,8761,518,2,2019-07-26
680,1,9066,270,1,2020-08-25
131,1,4461,203,1,2021-10-27
951,1,4859,518,12,2016-07-30
951,1,4161,203,3,2021-04-27
951,1,6437,401,2,2021-08-24
410,1,9066,270,7,2019-06-08
951,1,8654,518,3,2017-06-16
413,1,6437,401,2,2018-01-10
825,1,8761,518,2,2019-06-18
950,1,9066,270,1,2017-11-20
353,2,9066,270,6,2021-09-11
413,1,6437,401,4,2021-12-15
673,1,44,325,2,2020-04-20
950,1,1144,723,2,2018-08-31
680,1,4461,203,5,2017-08-24
410,1,9066,270,8,2016-02-09
825,1,44,325,4,2019-03-02
951,1,4161,203,2,2016-12-31
950,1,44,325,1,2019-04-15
680,1,9066,270,1,2018-11-29
680,1,8654,518,3,2016-08-05
411,1,1144,723,1,2019-03-11
825,1,4461,203,3,2016-10-14
131,1,8761,518,2,2018-03-30
673,1,4461,203,3,2019-01-17
673,1,1144,723,6,2019-11-08
673,1,6437,401,6,2020-05-04
413,1,9066,270,2,2020-06-09
825,1,8761,518,1,2019-01-16
673,1,8761,518,2,2019-05-23
353,2,8761,518,1,2021-10-28
410,1,4461,203,6,2017-03-10
825,1,1144,723,1,2018-04-09
680,1,44,325,10,2021-11-27
353,2,44,325,4,2019-06-07
825,1,4461,203,2,2021-08-16
825,1,1144,723,2,2020-03-04
413,1,4859,518,2,2018-09-11
131,1,4161,203,6,2019-12-16
673,1,6437,401,8,2017-09-11
825,1,9066,270,3,2019-12-24
680,1,9066,270,4,2020-07-06
673,1,8654,518,2,2016-09-10
410,1,4859,518,4,2019-12-14
410,1,8654,518,2,2021-05-21
413,1,44,325,7,2020-09-24
410,1,9066,270,7,2017-02-10
680,1,1144,723,3,2017-07-05
673,1,8761,518,1,2016-03-30
411,1,6437,401,1,2016-08-24
131,1,44,325,3,2020-05-22
413,1,1144,723,3,2018-10-13
411,1,6437,401,4,2020-12-21
411,1,4859,518,7,2017-08-30
673,1,6437,401,18,2017-09-09
131,1,7983,518,2,2018-01-22
673,1,6437,401,1,2021-09-30
131,1,4161,203,4,2020-07-02
951,1,6437,401,1,2017-06-06
411,1,8654,518,2,2021-09-10
413,1,8654,518,2,2020-09-11
950,1,8654,518,6,2018-07-19
825,1,4859,518,3,2018-12-27
